name,hexadecimal,rgb_red,rgb_green,rgb_blue,hsv_hue,hsv_satur,hsv_value
Japanese carmine,#9D2933,157,41,51,355,74,62
Japanese indigo,#264348,38,67,72,189,47,28
Japanese violet,#5B3256,91,50,86,307,45,36
Jasmine,#F8DE7E,248,222,126,47,49,97
Jasper,#D73B3E,215,59,62,359,73,84
Jazzberry jam,#A50B5E,165,11,94,328,93,65
Jelly Bean,#DA614E,218,97,78,8,64,85
Jet,#343434,52,52,52,0,0,20
Jonquil,#F4CA16,244,202,22,49,91,96
Jordy blue,#8AB9F1,138,185,241,213,43,95
June bud,#BDDA57,189,218,87,73,60,85
Jungle green,#29AB87,41,171,135,163,76,67
Kelly green,#4CBB17,76,187,23,101,88,73
Kenyan copper,#7C1C05,124,28,5,12,96,49
Keppel,#3AB09E,58,176,158,171,67,69
Key Lime,#E8F48C,232,244,140,67,43,96
Khaki (HTML/CSS) (Khaki),#C3B091,195,176,145,37,26,76
Khaki (X11) (Light khaki),#F0E68C,240,230,140,54,42,94
Kobe,#882D17,136,45,23,12,83,53
Kobi,#E79FC4,231,159,196,329,31,91
Kobicha,#6B4423,107,68,35,28,67,42
Kombu green,#354230,53,66,48,103,27,26
KU Crimson,#E8000D,232,0,13,357,100,91
La Salle Green,#087830,8,120,48,141,93,47
Languid lavender,#D6CADD,214,202,221,278,9,87
Lapis lazuli,#26619C,38,97,156,210,76,61
Laser Lemon,#FFFF66,255,255,102,60,60,100
Laurel green,#A9BA9D,169,186,157,95,16,73
Lava,#CF1020,207,16,32,355,92,81
Lavender (floral),#B57EDC,181,126,220,275,43,86
Lavender (web),#E6E6FA,230,230,250,240,8,98
Lavender blue,#CCCCFF,204,204,255,240,20,100
Lavender blush,#FFF0F5,255,240,245,340,6,100
Lavender gray,#C4C3D0,196,195,208,245,6,82
Lavender indigo,#9457EB,148,87,235,265,63,92
Lavender magenta,#EE82EE,238,130,238,300,45,93
Lavender mist,#E6E6FA,230,230,250,240,8,98
Lavender pink,#FBAED2,251,174,210,332,31,98
Lavender purple,#967BB6,150,123,182,267,32,71
Lavender rose,#FBA0E3,251,160,227,316,36,98
Lawn green,#7CFC00,124,252,0,90,100,99
Lemon,#FFF700,255,247,0,58,100,100
Lemon chiffon,#FFFACD,255,250,205,54,20,100
Lemon curry,#CCA01D,204,160,29,45,86,80
Lemon glacier,#FDFF00,253,255,0,60,100,100
Lemon lime,#E3FF00,227,255,0,67,100,100
Lemon meringue,#F6EABE,246,234,190,47,23,96
Lemon yellow,#FFF44F,255,244,79,56,69,100
Lenurple,#BA93D8,186,147,216,274,32,85
Licorice,#1A1110,26,17,16,6,38,10
Liberty,#545AA7,84,90,167,236,50,65
Light apricot,#FDD5B1,253,213,177,28,30,99
Light blue,#ADD8E6,173,216,230,195,25,90
Light brilliant red,#FE2E2E,254,46,46,0,82,100
Light brown,#B5651D,181,101,29,28,84,71
Light carmine pink,#E66771,230,103,113,355,55,90
Light cobalt blue,#88ACE0,136,172,224,215,39,88
Light coral,#F08080,240,128,128,0,47,94
Light cornflower blue,#93CCEA,147,204,234,201,37,92
Light crimson,#F56991,245,105,145,343,57,96
Light cyan,#E0FFFF,224,255,255,180,12,100
Light deep pink,#FF5CCD,255,92,205,318,64,100
Light French beige,#C8AD7F,200,173,127,38,37,78
Light fuchsia pink,#F984EF,249,132,239,305,47,98
Light goldenrod yellow,#FAFAD2,250,250,210,60,16,98
Light gray,#D3D3D3,211,211,211,0,0,83
Light grayish magenta,#CC99CC,204,153,204,300,25,80
Light green,#90EE90,144,238,144,120,39,93
Light hot pink,#FFB3DE,255,179,222,326,30,100
Light khaki,#F0E68C,240,230,140,54,42,94
Light medium orchid,#D39BCB,211,155,203,309,27,83
Light moss green,#ADDFAD,173,223,173,120,22,87
Light orchid,#E6A8D7,230,168,215,315,27,90
Light pastel purple,#B19CD9,177,156,217,261,28,85
Light pink,#FFB6C1,255,182,193,351,29,100
Light red ochre,#E97451,233,116,81,14,65,91
Light salmon,#FFA07A,255,160,122,17,52,100
Light salmon pink,#FF9999,255,153,153,0,40,100
Light sea green,#20B2AA,32,178,170,177,82,70
Light sky blue,#87CEFA,135,206,250,203,46,98
Light slate gray,#778899,119,136,153,210,22,60
Light steel blue,#B0C4DE,176,196,222,214,21,87
Light taupe,#B38B6D,179,139,109,26,39,70
Light Thulian pink,#E68FAC,230,143,172,340,38,90
Light yellow,#FFFFE0,255,255,224,60,12,100
Lilac,#C8A2C8,200,162,200,300,19,78
Lilac Luster,#AE98AA,174,152,170,311,13,68
Lime (color wheel),#BFFF00,191,255,0,75,100,100
Lime (web) (X11 green),#00FF00,0,255,0,120,100,100
Lime green,#32CD32,50,205,50,120,76,80
Limerick,#9DC209,157,194,9,72,95,76
Lincoln green,#195905,25,89,5,106,94,35
Linen,#FAF0E6,250,240,230,30,8,98
Lion,#C19A6B,193,154,107,33,45,76
Liseran Purple,#DE6FA1,222,111,161,333,50,87
Little boy blue,#6CA0DC,108,160,220,212,51,86
Liver,#674C47,103,76,71,9,31,40
Liver (dogs),#B86D29,184,109,41,29,78,72
Liver (organ),#6C2E1F,108,46,31,12,71,42
Liver chestnut,#987456,152,116,86,27,43,60
Livid,#6699CC,102,153,204,210,50,80
Lumber,#FFE4CD,255,228,205,28,20,100
Lust,#E62020,230,32,32,0,86,90
Macaroni and Cheese,#FFBD88,255,189,136,27,47,100
Magenta,#FF00FF,255,0,255,300,100,100
Magenta (Crayola),#FF55A3,255,85,163,332,67,100
Magenta (dye),#CA1F7B,202,31,123,328,85,79
Magenta (Pantone),#D0417E,208,65,126,334,69,82
Magenta (process),#FF0090,255,0,144,326,100,100
Magenta haze,#9F4576,159,69,118,327,57,62
Magenta-pink,#CC338B,204,51,139,325,75,80
Magic mint,#AAF0D1,170,240,209,153,29,94
Magic Potion,#FF4466,255,68,102,349,73,100
Magnolia,#F8F4FF,248,244,255,262,4,100
Mahogany,#C04000,192,64,0,20,100,75
Maize,#FBEC5D,251,236,93,54,63,98
Majorelle Blue,#6050DC,96,80,220,247,64,86
Malachite,#0BDA51,11,218,81,140,95,85
Manatee,#979AAA,151,154,170,231,11,67
Mandarin,#F37A48,243,122,72,18,70,95
Mango Tango,#FF8243,255,130,67,20,74,100
Mantis,#74C365,116,195,101,110,48,76
Mardi Gras,#880085,136,0,133,301,100,53
Marigold,#EAA221,234,162,33,39,85,91
Maroon (Crayola),#C32148,195,33,72,346,83,76
Maroon (HTML/CSS),#800000,128,0,0,0,100,50
Maroon (X11),#B03060,176,48,96,338,73,69
Mauve,#E0B0FF,224,176,255,276,31,100
Mauve taupe,#915F6D,145,95,109,343,34,57
Mauvelous,#EF98AA,239,152,170,348,36,94
Maximum Blue,#47ABCC,71,171,204,195,65,80
Maximum Yellow,#FAFA37,250,250,55,60,78,98
May green,#4C9141,76,145,65,112,55,57
Maya blue,#73C2FB,115,194,251,205,54,98
Meat brown,#E5B73B,229,183,59,44,74,90
Medium aquamarine,#66DDAA,102,221,170,154,54,87
Medium blue,#0000CD,0,0,205,240,100,80
Medium candy apple red,#E2062C,226,6,44,350,97,89
Medium carmine,#AF4035,175,64,53,5,70,69
Medium champagne,#F3E5AB,243,229,171,48,30,95
Medium electric blue,#035096,3,80,150,209,98,59
Medium jungle green,#1C352D,28,53,45,161,47,21
Medium lavender magenta,#DDA0DD,221,160,221,300,28,87
Medium orchid,#BA55D3,186,85,211,288,60,83
Medium Persian blue,#0067A5,0,103,165,203,100,65
Medium purple,#9370DB,147,112,219,260,49,86
Medium red-violet,#BB3385,187,51,133,324,73,73
Medium ruby,#AA4069,170,64,105,337,62,67
Medium sea green,#3CB371,60,179,113,147,66,70
Medium sky blue,#80DAEB,128,218,235,190,46,92
Medium slate blue,#7B68EE,123,104,238,249,56,93
Medium spring bud,#C9DC87,201,220,135,73,39,86
Medium spring green,#00FA9A,0,250,154,157,100,98
Medium taupe,#674C47,103,76,71,9,31,40
Medium turquoise,#48D1CC,72,209,204,178,66,82
Medium Tuscan red,#79443B,121,68,59,9,51,47
Medium vermilion,#D9603B,217,96,59,14,73,85
Medium violet-red,#C71585,199,21,133,322,89,78
Mellow apricot,#F8B878,248,184,120,30,52,97
Mellow yellow,#F8DE7E,248,222,126,47,49,97
Melon,#FDBCB4,253,188,180,7,29,99
Metallic Seaweed,#0A7E8C,10,126,140,186,93,55
Metallic Sunburst,#9C7C38,156,124,56,41,64,61
Metal Pink,#FF00FD,255,0,253,300,99,50
Mexican pink,#E4007C,228,0,124,327,100,89
Midnight,#702670,112,38,112,300,66,44
Midnight blue,#191970,25,25,112,240,78,44
Midnight green (eagle green),#004953,0,73,83,187,100,33
Mikado yellow,#FFC40C,255,196,12,45,95,100
Mindaro,#E3F988,227,249,136,72,45,98
Ming,#36747D,54,116,125,188,56,49
Minion Yellow,#F5E050,245,224,80,52,67,96
Mint,#3EB489,62,180,137,158,66,71
Mint cream,#F5FFFA,245,255,250,150,4,100
Mint green,#98FF98,152,255,152,120,40,100
Misty Moss,#BBB477,187,180,119,54,36,73
Misty rose,#FFE4E1,255,228,225,6,12,100
Moccasin,#FAEBD7,250,235,215,34,14,98
Mode beige,#967117,150,113,23,43,85,59
Moonstone blue,#73A9C2,115,169,194,199,41,76
Mordant red 19,#AE0C00,174,12,0,4,100,68
Moss green,#8A9A5B,138,154,91,75,41,60
Mountain Meadow,#30BA8F,48,186,143,161,74,73
Mountbatten pink,#997A8D,153,122,141,323,20,60
MSU Green,#18453B,24,69,59,167,65,27
Mughal green,#306030,48,96,48,120,50,38
Mulberry,#C54B8C,197,75,140,328,62,77
Mummy's Tomb,#828E84,130,142,132,130,9,56
Mustard,#FFDB58,255,219,88,47,65,100
Myrtle green,#317873,49,120,115,176,59,47
Mystic,#D65282,214,82,130,338,62,84
Mystic Maroon,#AD4379,173,67,121,329,62,68
Nadeshiko pink,#F6ADC6,246,173,198,339,30,96
Napier green,#2A8000,42,128,0,100,100,50
Naples yellow,#FADA5E,250,218,94,48,62,98
Navajo white,#FFDEAD,255,222,173,36,32,100
Navy,#000080,0,0,128,240,100,50
Navy purple,#9457EB,148,87,235,265,63,92
Neon Carrot,#FFA343,255,163,67,31,74,100
Neon fuchsia,#FE4164,254,65,100,349,74,100
Neon green,#39FF14,57,255,20,111,92,100
New Car,#214FC6,33,79,198,223,83,78
New York pink,#D7837F,215,131,127,3,41,84
Nickel,#727472,114,116,114,120,2,46
Non-photo blue,#A4DDED,164,221,237,193,31,93
North Texas Green,#059033,5,144,51,140,97,56
Nyanza,#E9FFDB,233,255,219,97,14,100
Ocean Blue,#4F42B5,79,66,181,247,64,71
Ocean Boat Blue,#0077BE,0,119,190,202,100,75
Ocean Green,#48BF91,72,191,145,157,62,75
Ochre,#CC7722,204,119,34,30,83,80
Office green,#008000,0,128,0,120,100,50
Ogre Odor,#FD5240,253,82,64,6,75,99
Old burgundy,#43302E,67,48,46,6,31,26
Old gold,#CFB53B,207,181,59,49,71,81
Old heliotrope,#563C5C,86,60,92,289,35,36
Old lace,#FDF5E6,253,245,230,39,9,99
Old lavender,#796878,121,104,120,304,14,47
Old mauve,#673147,103,49,71,336,52,40
Old moss green,#867E36,134,126,54,54,60,53
Old rose,#C08081,192,128,129,359,33,75
Old silver,#848482,132,132,130,60,2,52
Olive,#808000,128,128,0,60,100,50
Olive Drab (#3),#6B8E23,107,142,35,80,75,56
Olive Drab #7,#3C341F,60,52,31,43,48,24
Olivine,#9AB973,154,185,115,87,38,73
Onyx,#353839,53,56,57,195,7,22
Opera mauve,#B784A7,183,132,167,319,28,72
Orange (color wheel),#FF7F00,255,127,0,30,100,100
Orange (Crayola),#FF7538,255,117,56,18,78,100
Orange (Pantone),#FF5800,255,88,0,21,100,100
Orange (RYB),#FB9902,251,153,2,36,99,98
Orange (web),#FFA500,255,165,0,39,100,100
Orange peel,#FF9F00,255,159,0,37,100,100
Orange-red,#FF4500,255,69,0,16,100,100
Orange Soda,#FA5B3D,250,91,61,10,76,98
Orange-yellow,#F8D568,248,213,104,45,58,97
Orchid,#DA70D6,218,112,214,302,49,85
Orchid pink,#F2BDCD,242,189,205,342,22,95
Orioles orange,#FB4F14,251,79,20,15,92,98
Otter brown,#654321,101,67,33,30,67,40
Outer Space,#414A4C,65,74,76,191,14,30
Outrageous Orange,#FF6E4A,255,110,74,12,71,100
Oxford Blue,#002147,0,33,71,212,100,28
OU Crimson Red,#990000,153,0,0,0,100,60
Pacific Blue,#1CA9C9,28,169,201,191,86,79
Pakistan green,#006600,0,102,0,120,100,40
Palatinate blue,#273BE2,39,59,226,234,83,89
Palatinate purple,#682860,104,40,96,308,62,41
Pale aqua,#BCD4E6,188,212,230,206,18,90
Pale blue,#AFEEEE,175,238,238,180,26,93
Pale brown,#987654,152,118,84,30,45,60
Pale carmine,#AF4035,175,64,53,5,70,69
Pale cerulean,#9BC4E2,155,196,226,205,31,89
Pale chestnut,#DDADAF,221,173,175,358,22,87
Pale copper,#DA8A67,218,138,103,18,53,85
Pale cornflower blue,#ABCDEF,171,205,239,210,28,94
Pale cyan,#87D3F8,135,211,248,200,46,97
Pale gold,#E6BE8A,230,190,138,34,40,90
Pale goldenrod,#EEE8AA,238,232,170,55,29,93
Pale green,#98FB98,152,251,152,120,39,98
Pale lavender,#DCD0FF,220,208,255,255,18,100
Pale magenta,#F984E5,249,132,229,310,47,98
Pale magenta-pink,#FF99CC,255,153,204,330,40,100
Pale pink,#FADADD,250,218,221,354,13,98
Pale plum,#DDA0DD,221,160,221,300,28,87
Pale red-violet,#DB7093,219,112,147,340,49,86
Pale robin egg blue,#96DED1,150,222,209,169,32,87
Pale silver,#C9C0BB,201,192,187,21,7,79
Pale spring bud,#ECEBBD,236,235,189,59,20,93
Pale taupe,#BC987E,188,152,126,25,33,74
Pale turquoise,#AFEEEE,175,238,238,180,26,93
Pale violet,#CC99FF,204,153,255,270,40,100
Pale violet-red,#DB7093,219,112,147,340,49,86
Pansy purple,#78184A,120,24,74,329,80,47
Paolo Veronese green,#009B7D,0,155,125,168,100,61
Papaya whip,#FFEFD5,255,239,213,37,16,100
Paradise pink,#E63E62,230,62,98,347,73,90
Paris Green,#50C878,80,200,120,140,60,78
Pastel blue,#AEC6CF,174,198,207,196,16,81
Pastel brown,#836953,131,105,83,28,37,51
Pastel gray,#CFCFC4,207,207,196,60,5,81
Pastel green,#77DD77,119,221,119,120,46,87
Pastel magenta,#F49AC2,244,154,194,333,37,96
Pastel orange,#FFB347,255,179,71,35,72,100
Pastel pink,#DEA5A4,222,165,164,1,26,87
Pastel purple,#B39EB5,179,158,181,295,13,71
Pastel red,#FF6961,255,105,97,3,62,100
Pastel violet,#CB99C9,203,153,201,302,25,80
Pastel yellow,#FDFD96,253,253,150,60,41,99
Patriarch,#800080,128,0,128,300,100,50
Payne's grey,#536878,83,104,120,206,31,47
Peach,#FFE5B4,255,229,180,39,29,100
Peach,#FFCBA4,255,203,164,26,36,100
Peach-orange,#FFCC99,255,204,153,30,40,100
Peach puff,#FFDAB9,255,218,185,28,27,100
Peach-yellow,#FADFAD,250,223,173,39,31,98
Pear,#D1E231,209,226,49,66,78,89
Pearl,#EAE0C8,234,224,200,42,15,92
Pearl Aqua,#88D8C0,136,216,192,162,37,85
Pearly purple,#B768A2,183,104,162,316,43,72
Peridot,#E6E200,230,226,0,59,100,90
Periwinkle,#CCCCFF,204,204,255,240,20,100
Permanent Geranium Lake,#E12C2C,225,44,44,0,80,88
Persian blue,#1C39BB,28,57,187,229,85,73
Persian green,#00A693,0,166,147,173,100,65
Persian indigo,#32127A,50,18,122,258,85,48
Persian orange,#D99058,217,144,88,26,59,85
Persian pink,#F77FBE,247,127,190,329,49,97
Persian plum,#701C1C,112,28,28,0,75,44
Persian red,#CC3333,204,51,51,0,75,80
Persian rose,#FE28A2,254,40,162,326,84,100
Persimmon,#EC5800,236,88,0,22,100,93
Peru,#CD853F,205,133,63,30,69,80
Pewter Blue,#8BA8B7,139,168,183,200,24,72
Phlox,#DF00FF,223,0,255,292,100,100
Phthalo blue,#000F89,0,15,137,233,100,54
Phthalo green,#123524,18,53,36,151,66,21
Picton blue,#45B1E8,69,177,232,200,70,91
Pictorial carmine,#C30B4E,195,11,78,338,94,76
Piggy pink,#FDDDE6,253,221,230,343,13,99
Pine green,#01796F,1,121,111,175,99,47
Pineapple,#563C5C,86,60,92,289,35,36
Pink,#FFC0CB,255,192,203,350,25,100
Pink (Pantone),#D74894,215,72,148,328,67,84
Pink Flamingo,#FC74FD,252,116,253,300,54,99
Pink lace,#FFDDF4,255,221,244,319,13,100
Pink lavender,#D8B2D1,216,178,209,311,18,85
Pink-orange,#FF9966,255,153,102,20,60,100
Pink pearl,#E7ACCF,231,172,207,324,26,91
Pink raspberry,#980036,152,0,54,339,100,60
Pink Sherbet,#F78FA7,247,143,167,346,42,97
Pistachio,#93C572,147,197,114,96,42,77
Pixie Powder,#391285,57,18,133,260,87,52
Platinum,#E5E4E2,229,228,226,40,1,90
Plum,#8E4585,142,69,133,307,51,56
Plum (web),#DDA0DD,221,160,221,300,28,87
Plump Purple,#5946B2,89,70,178,251,61,70
Polished Pine,#5DA493,93,164,147,166,43,64
Pomp and Power,#86608E,134,96,142,290,32,56
Popstar,#BE4F62,190,79,98,350,58,75
Portland Orange,#FF5A36,255,90,54,11,79,100
Powder blue,#B0E0E6,176,224,230,187,23,90
Princess Perfume,#FF85CF,255,133,207,324,48,100
Princeton orange,#F58025,245,128,37,26,85,96
Prune,#701C1C,112,28,28,0,75,44
Prussian blue,#003153,0,49,83,205,100,33
Psychedelic purple,#DF00FF,223,0,255,292,100,100
Puce,#CC8899,204,136,153,345,33,80
Puce red,#722F37,114,47,55,353,59,45
Pullman Brown (UPS Brown),#644117,100,65,23,33,77,39
Pullman Green,#3B331C,59,51,28,45,36,59
Pumpkin,#FF7518,255,117,24,24,91,100
Purple (HTML),#800080,128,0,128,300,100,50
Purple (Munsell),#9F00C5,159,0,197,288,100,77
Purple (X11),#A020F0,160,32,240,277,87,94
Purple Heart,#69359C,105,53,156,270,66,61
Purple mountain majesty,#9678B6,150,120,182,269,34,71
Purple navy,#4E5180,78,81,128,236,39,50
Purple pizzazz,#FE4EDA,254,78,218,312,69,100
Purple Plum,#9C51B6,156,81,182,285,56,71
Purple taupe,#50404D,80,64,77,311,20,31
Purpureus,#9A4EAE,154,78,174,288,55,68
Quartz,#51484F,81,72,79,313,11,32
Queen blue,#436B95,67,107,149,211,55,58
Queen pink,#E8CCD7,232,204,215,336,12,91
Quick Silver,#A6A6A6,166,166,166,0,0,65
Quinacridone magenta,#8E3A59,142,58,89,338,59,56
Rackley,#5D8AA8,93,138,168,204,45,66
Radical Red,#FF355E,255,53,94,348,79,100
Raisin black,#242124,36,33,36,300,8,14
Rajah,#FBAB60,251,171,96,29,62,98
Raspberry,#E30B5D,227,11,93,337,95,89
Raspberry glace,#915F6D,145,95,109,343,34,57
Raspberry pink,#E25098,226,80,152,330,65,89
Raspberry rose,#B3446C,179,68,108,338,62,70
Raw Sienna,#D68A59,214,138,89,24,58,84
Raw umber,#826644,130,102,68,33,48,51
Razzle dazzle rose,#FF33CC,255,51,204,315,80,100
Razzmatazz,#E3256B,227,37,107,338,84,89
Razzmic Berry,#8D4E85,141,78,133,308,45,55
Rebecca Purple,#663399,102,51,153,270,67,60
Red,#FF0000,255,0,0,0,100,100
Red (Crayola),#EE204D,238,32,77,347,87,93
Red (Munsell),#F2003C,242,0,60,345,100,95
Red (NCS),#C40233,196,2,51,345,99,77
Red (Pantone),#ED2939,237,41,57,355,83,93
Red (pigment),#ED1C24,237,28,36,358,88,93
Red (RYB),#FE2712,254,39,18,5,93,100
Red-brown,#A52A2A,165,42,42,0,75,65
Red devil,#860111,134,1,17,353,99,53
Red-orange,#FF5349,255,83,73,3,71,100
Red-purple,#E40078,228,0,120,328,100,89
Red Salsa,#FD3A4A,253,58,74,355,77,99
Red-violet,#C71585,199,21,133,322,89,78
Redwood,#A45A52,164,90,82,6,50,64
Regalia,#522D80,82,45,128,267,65,50
Registration black,#000000,0,0,0,0,0,0
Resolution blue,#002387,0,35,135,224,100,53
Rhythm,#777696,119,118,150,242,21,59
Rich black,#004040,0,64,64,180,100,25
Rich black (FOGRA29),#010B13,1,11,19,207,95,8
Rich black (FOGRA39),#010203,1,2,3,210,67,1
Rich brilliant lavender,#F1A7FE,241,167,254,291,34,100
Rich carmine,#D70040,215,0,64,342,100,84
Rich electric blue,#0892D0,8,146,208,199,96,82
Rich lavender,#A76BCF,167,107,207,276,48,81
Rich lilac,#B666D2,182,102,210,284,51,82
Rich maroon,#B03060,176,48,96,338,73,69
Rifle green,#444C38,68,76,56,84,26,30
Roast coffee,#704241,112,66,65,1,42,44
Robin egg blue,#00CCCC,0,204,204,180,100,80
Rocket metallic,#8A7F80,138,127,128,355,8,54
Roman silver,#838996,131,137,150,221,13,59
Rose,#FF007F,255,0,127,330,100,100
Rose bonbon,#F9429E,249,66,158,330,73,98
Rose Dust,#9E5E6F,158,94,111,344,41,62
Rose ebony,#674846,103,72,70,4,32,40
Rose gold,#B76E79,183,110,121,351,40,72
Rose madder,#E32636,227,38,54,355,83,89
Rose pink,#FF66CC,255,102,204,320,60,100
Rose quartz,#AA98A9,170,152,169,303,11,67
Rose red,#C21E56,194,30,86,340,85,76
Rose taupe,#905D5D,144,93,93,0,35,56
Rose vale,#AB4E52,171,78,82,357,54,67
Rosewood,#65000B,101,0,11,353,100,40
Rosso corsa,#D40000,212,0,0,0,100,83
Rosy brown,#BC8F8F,188,143,143,0,24,74
Royal azure,#0038A8,0,56,168,220,100,66
Royal blue,#002366,0,35,102,219,100,40
Royal blue,#4169E1,65,105,225,225,71,88
Royal fuchsia,#CA2C92,202,44,146,321,78,79
Royal purple,#7851A9,120,81,169,267,52,66
Royal yellow,#FADA5E,250,218,94,48,62,98
Ruber,#CE4676,206,70,118,339,66,81
Rubine red,#D10056,209,0,86,335,100,82
Ruby,#E0115F,224,17,95,337,92,88
Ruby red,#9B111E,155,17,30,354,89,61
Ruddy,#FF0028,255,0,40,351,100,100
Ruddy brown,#BB6528,187,101,40,25,79,73
Ruddy pink,#E18E96,225,142,150,354,37,88
Rufous,#A81C07,168,28,7,8,96,66
Russet,#80461B,128,70,27,26,79,50
Russian green,#679267,103,146,103,120,29,57
Russian violet,#32174D,50,23,77,270,70,30
Rust,#B7410E,183,65,14,18,92,72
Rusty red,#DA2C43,218,44,67,352,80,85
Sacramento State green,#00563F,0,86,63,164,100,34
Saddle brown,#8B4513,139,69,19,25,86,55
Safety orange,#FF7800,255,120,0,28,100,100
Safety orange (blaze orange),#FF6700,255,103,0,24,100,100
Safety yellow,#EED202,238,210,2,53,99,93
Saffron,#F4C430,244,196,48,45,80,96
Sage,#BCB88A,188,184,138,55,27,74
Salmon,#FA8072,250,128,114,6,54,98
Salmon pink,#FF91A4,255,145,164,350,43,100
Sand,#C2B280,194,178,128,45,34,76
Sand dune,#967117,150,113,23,43,85,59
Sandstorm,#ECD540,236,213,64,52,73,93
Sandy brown,#F4A460,244,164,96,28,61,96
Sandy taupe,#967117,150,113,23,43,85,59
Sangria,#92000A,146,0,10,356,100,57
Sap green,#507D2A,80,125,42,93,66,49
Sapphire,#0F52BA,15,82,186,216,92,73
Sapphire blue,#0067A5,0,103,165,203,100,65
Sasquatch Socks,#FF4681,255,70,129,341,73,100
Satin sheen gold,#CBA135,203,161,53,43,74,80
Scarlet,#FF2400,255,36,0,8,100,100
Scarlet,#FD0E35,253,14,53,350,94,99
Schauss pink,#FF91AF,255,145,175,344,43,100
School bus yellow,#FFD800,255,216,0,51,100,100
Screamin' Green,#66FF66,102,255,102,120,60,100
Sea blue,#006994,0,105,148,197,100,58
Sea green,#2E8B57,46,139,87,146,67,55
Sea Serpent,#4BC7CF,75,199,207,184,64,81
Seal brown,#59260B,89,38,11,0,60,20
Seashell,#FFF5EE,255,245,238,25,7,100
Selective yellow,#FFBA00,255,186,0,44,100,100
Sepia,#704214,112,66,20,30,82,44
Shadow,#8A795D,138,121,93,37,33,54
Shadow blue,#778BA5,119,139,165,214,28,65
Shampoo,#FFCFF1,255,207,241,318,19,100
Shamrock green,#009E60,0,158,96,156,100,62
Sheen Green,#8FD400,143,212,0,80,100,83
Shimmering Blush,#D98695,217,134,149,349,38,85
Shiny Shamrock,#5FA778,95,167,120,141,43,66
Shocking pink,#FC0FC0,252,15,192,315,94,99
Shocking pink (Crayola),#FF6FFF,255,111,255,300,56,100
Sienna,#882D17,136,45,23,12,83,53
Silver,#C0C0C0,192,192,192,0,0,75
Silver chalice,#ACACAC,172,172,172,0,0,67
Silver Lake blue,#5D89BA,93,137,186,212,50,73
Silver pink,#C4AEAD,196,174,173,3,12,77
Silver sand,#BFC1C2,191,193,194,200,2,76
Sinopia,#CB410B,203,65,11,17,95,80
Sizzling Red,#FF3855,255,56,85,351,78,100
Sizzling Sunrise,#FFDB00,255,219,0,52,100,100
Skobeloff,#007474,0,116,116,180,100,45
Sky blue,#87CEEB,135,206,235,197,43,92
Sky magenta,#CF71AF,207,113,175,320,45,81
Slate blue,#6A5ACD,106,90,205,248,56,80
Slate gray,#708090,112,128,144,210,22,56
Smalt (Dark powder blue),#003399,0,51,153,220,100,60
Slimy Green,#299617,41,150,23,111,85,59
Smashed Pumpkin,#FF6D3A,255,109,58,16,77,100
Smitten,#C84186,200,65,134,329,68,78
Smoke,#738276,115,130,118,132,12,51
Smokey Topaz,#832A0D,131,42,13,15,90,51
Smoky black,#100C08,16,12,8,30,50,6
Smoky Topaz,#933D41,147,61,65,357,59,58
Snow,#FFFAFA,255,250,250,0,2,76
Soap,#CEC8EF,206,200,239,249,16,94
Solid pink,#893843,137,56,67,352,59,54
Sonic silver,#757575,117,117,117,0,0,46
Spartan Crimson,#9E1316,158,19,22,359,88,62
Space cadet,#1D2951,29,41,81,226,64,32
Spanish bistre,#807532,128,117,50,52,61,50
Spanish blue,#0070B8,0,112,184,203,100,72
Spanish carmine,#D10047,209,0,71,340,100,82
Spanish crimson,#E51A4C,229,26,76,345,89,90
Spanish gray,#989898,152,152,152,0,0,60
Spanish green,#009150,0,145,80,153,100,57
Spanish orange,#E86100,232,97,0,25,100,91
Spanish pink,#F7BFBE,247,191,190,1,23,97
Spanish red,#E60026,230,0,38,350,100,90
Spanish sky blue,#00FFFF,0,255,255,180,100,100
Spanish violet,#4C2882,76,40,130,264,69,51
Spanish viridian,#007F5C,0,127,92,163,100,50
Spicy mix,#8B5f4D,139,95,77,17,45,55
Spiro Disco Ball,#0FC0FC,15,192,252,195,94,99
Spring bud,#A7FC00,167,252,0,80,100,99
Spring Frost,#87FF2A,135,255,42,94,84,100
Spring green,#00FF7F,0,255,127,150,100,100
Star command blue,#007BB8,0,123,184,200,100,72
Steel blue,#4682B4,70,130,180,207,61,71
Steel pink,#CC33CC,204,51,204,300,75,80
Steel Teal,#5F8A8B,95,138,139,181,32,55
Stil de grain yellow,#FADA5E,250,218,94,48,62,98
Stizza,#990000,153,0,0,0,100,60
Stormcloud,#4F666A,79,102,106,189,25,42
Straw,#E4D96F,228,217,111,54,51,89
Strawberry,#FC5A8D,252,90,141,341,64,99
Sugar Plum,#914E75,145,78,117,325,46,57
Sunburnt Cyclops,#FF404C,255,64,76,356,75,100
Sunglow,#FFCC33,255,204,51,45,80,100
Sunny,#F2F27A,242,242,122,60,50,95
Sunray,#E3AB57,227,171,87,36,62,89
Sunset,#FAD6A5,250,214,165,35,34,98
Sunset orange,#FD5E53,253,94,83,4,67,99
Super pink,#CF6BA9,207,107,169,323,48,81
Sweet Brown,#A83731,168,55,49,3,71,66
Tan,#D2B48C,210,180,140,34,33,82
Tangelo,#F94D00,249,77,0,19,100,98
Tangerine,#F28500,242,133,0,33,100,95
