name,hexadecimal,rgb_red,rgb_green,rgb_blue,hsv_hue,hsv_satur,hsv_value
Bright navy blue,#1974D2,25,116,210,210,88,82
Bright pink,#FF007F,255,0,127,330,100,100
Bright turquoise,#08E8DE,8,232,222,177,97,91
Bright ube,#D19FE8,209,159,232,281,31,91
Bright Yellow (Crayola),#FFAA1D,255,170,29,37,89,100
Brilliant azure,#3399FF,51,153,255,210,80,100
Brilliant lavender,#F4BBFF,244,187,255,290,27,100
Brilliant rose,#FF55A3,255,85,163,332,67,100
Brink pink,#FB607F,251,96,127,348,62,98
British racing green,#004225,0,66,37,154,100,26
Bronze,#CD7F32,205,127,50,30,76,80
Bronze Yellow,#737000,115,112,0,58,100,45
Brown (traditional),#964B00,150,75,0,30,100,59
Brown (web),#A52A2A,165,42,42,0,75,65
Brown-nose,#6B4423,107,68,35,28,67,42
Brown Sugar,#AF6E4D,175,110,77,20,56,69
Brown Yellow,#cc9966,204,153,102,30,50,80
Brunswick green,#1B4D3E,27,77,62,162,65,30
Bubble gum,#FFC1CC,255,193,204,349,24,100
Bubbles,#E7FEFF,231,254,255,183,9,100
Bud green,#7BB661,123,182,97,102,47,71
Buff,#F0DC82,240,220,130,49,46,94
Bulgarian rose,#480607,72,6,7,359,92,28
Burgundy,#800020,128,0,32,345,100,50
Burlywood,#DEB887,222,184,135,34,39,87
Burnished Brown,#A17A74,161,122,116,8,28,63
Burnt orange,#CC5500,204,85,0,25,100,80
Burnt sienna,#E97451,233,116,81,14,65,91
Burnt umber,#8A3324,138,51,36,9,74,54
Byzantine,#BD33A4,189,51,164,311,73,74
Byzantium,#702963,112,41,99,311,63,44
Cadet,#536872,83,104,114,199,27,45
Cadet blue,#5F9EA0,95,158,160,182,41,63
Cadet grey,#91A3B0,145,163,176,205,18,69
Cadmium green,#006B3C,0,107,60,154,100,42
Cadmium orange,#ED872D,237,135,45,28,81,93
Cadmium red,#E30022,227,0,34,351,100,89
Cadmium yellow,#FFF600,255,246,0,58,100,100
Café au lait,#A67B5B,166,123,91,26,45,65
Café noir,#4B3621,75,54,33,30,56,29
Cal Poly green,#1E4D2B,30,77,43,137,61,30
Cambridge Blue,#A3C1AD,163,193,173,140,16,76
Camel,#C19A6B,193,154,107,33,45,76
Cameo pink,#EFBBCC,239,187,204,340,22,94
Camouflage green,#78866B,120,134,107,91,20,53
Canary yellow,#FFEF00,255,239,0,56,100,100
Candy apple red,#FF0800,255,8,0,2,100,100
Candy pink,#E4717A,228,113,122,355,50,89
Capri,#00BFFF,0,191,255,195,100,100
Caput mortuum,#592720,89,39,32,7,64,35
Cardinal,#C41E3A,196,30,58,350,85,77
Caribbean green,#00CC99,0,204,153,165,100,80
Carmine,#960018,150,0,24,350,100,59
Carmine (M&P),#D70040,215,0,64,342,100,84
Carmine pink,#EB4C42,235,76,66,4,72,92
Carmine red,#FF0038,255,0,56,347,100,100
Carnation pink,#FFA6C9,255,166,201,336,35,100
Carnelian,#B31B1B,179,27,27,0,85,70
Carolina blue,#56A0D3,86,160,211,204,59,83
Carrot orange,#ED9121,237,145,33,33,86,93
Castleton green,#00563F,0,86,63,164,100,34
Catalina blue,#062A78,6,42,120,221,95,47
Catawba,#703642,112,54,66,348,52,44
Cedar Chest,#C95A49,201,90,73,8,64,79
Ceil,#92A1CF,146,161,207,225,29,81
Celadon,#ACE1AF,172,225,175,123,24,88
Celadon blue,#007BA7,0,123,167,196,100,65
Celadon green,#2F847C,47,132,124,174,64,52
Celeste,#B2FFFF,178,255,255,180,30,100
Celestial blue,#4997D0,73,151,208,205,65,82
Cerise,#DE3163,222,49,99,343,78,87
Cerise pink,#EC3B83,236,59,131,336,75,93
Cerulean,#007BA7,0,123,167,196,100,65
Cerulean blue,#2A52BE,42,82,190,224,78,75
Cerulean frost,#6D9BC3,109,155,195,208,44,76
CG Blue,#007AA5,0,122,165,196,100,65
CG Red,#E03C31,224,60,49,4,78,88
Chamoisee,#A0785A,160,120,90,26,44,63
Champagne,#F7E7CE,247,231,206,37,17,97
Charcoal,#36454F,54,69,79,204,32,31
Charleston green,#232B2B,35,43,43,180,19,17
Charm pink,#E68FAC,230,143,172,340,38,90
Chartreuse (traditional),#DFFF00,223,255,0,68,100,100
Chartreuse (web),#7FFF00,127,255,0,90,100,100
Cherry,#DE3163,222,49,99,343,78,87
Cherry blossom pink,#FFB7C5,255,183,197,348,28,100
Chestnut,#954535,149,69,53,10,64,58
China pink,#DE6FA1,222,111,161,333,50,87
China rose,#A8516E,168,81,110,340,52,66
Chinese red,#AA381E,170,56,30,11,82,67
Chinese violet,#856088,133,96,136,296,29,53
Chlorophyll green,#4AFF00,74,255,0,103,100,100
Chocolate (traditional),#7B3F00,123,63,0,31,100,48
Chocolate (web),#D2691E,210,105,30,25,86,82
Chrome yellow,#FFA700,255,167,0,39,100,100
Cinereous,#98817B,152,129,123,12,19,60
Cinnabar,#E34234,227,66,52,5,77,89
Cinnamon,#D2691E,210,105,30,25,86,82
Cinnamon Satin,#CD607E,205,96,126,343,53,80
Citrine,#E4D00A,228,208,10,54,96,89
Citron,#9FA91F,159,169,31,64,82,66
Claret,#7F1734,127,23,52,343,82,50
Classic rose,#FBCCE7,251,204,231,326,19,98
Cobalt Blue,#0047AB,0,71,171,215,100,67
Cocoa brown,#D2691E,210,105,30,25,86,82
Coconut,#965A3E,150,90,62,19,59,59
Coffee,#6F4E37,111,78,55,25,50,44
Columbia Blue,#C4D8E2,196,216,226,200,13,89
Congo pink,#F88379,248,131,121,5,51,97
Cool Black,#002E63,0,46,99,212,100,38
Cool grey,#8C92AC,140,146,172,229,19,67
Copper,#B87333,184,115,51,29,72,72
Copper (Crayola),#DA8A67,218,138,103,18,53,85
Copper penny,#AD6F69,173,111,105,5,39,68
Copper red,#CB6D51,203,109,81,14,60,80
Copper rose,#996666,153,102,102,0,33,60
Coquelicot,#FF3800,255,56,0,13,100,100
Coral,#FF7F50,255,127,80,16,69,100
Coral pink,#F88379,248,131,121,5,51,97
Coral red,#FF4040,255,64,64,0,75,100
Cordovan,#893F45,137,63,69,355,54,54
Corn,#FBEC5D,251,236,93,54,63,98
Cornell Red,#B31B1B,179,27,27,0,85,70
Cornflower blue,#6495ED,100,149,237,219,58,93
Cornsilk,#FFF8DC,255,248,220,48,14,100
Cosmic Cobalt,#2E2D88,46,45,136,241,67,53
Cosmic latte,#FFF8E7,255,248,231,43,9,100
Coyote brown,#81613e,129,97,62,62,52,51
Cotton candy,#FFBCD9,255,188,217,334,26,100
Cream,#FFFDD0,255,253,208,57,18,100
Crimson,#DC143C,220,20,60,348,91,86
Crimson glory,#BE0032,190,0,50,344,100,75
Crimson red,#990000,153,0,0,0,100,60
Cultured,#F5F5F5,245,245,245,0,0,96
Cyan,#00FFFF,0,255,255,180,100,100
Cyan azure,#4E82b4,78,130,180,209,57,71
Cyan-blue azure,#4682BF,70,130,191,210,63,75
Cyan cobalt blue,#28589C,40,88,156,215,74,61
Cyan cornflower blue,#188BC2,24,139,194,199,88,76
Cyan (process),#00B7EB,0,183,235,193,100,92
Cyber grape,#58427C,88,66,124,263,47,49
Cyber yellow,#FFD300,255,211,0,50,100,100
Cyclamen,#F56FA1,245,111,161,0,54,96
Daffodil,#FFFF31,255,255,49,60,81,100
Dandelion,#F0E130,240,225,48,55,80,94
Dark blue,#00008B,0,0,139,240,100,55
Dark blue-gray,#666699,102,102,153,240,33,60
Dark brown,#654321,101,67,33,30,67,40
Dark brown-tangelo,#88654E,136,101,78,24,43,53
Dark byzantium,#5D3954,93,57,84,315,39,36
Dark candy apple red,#A40000,164,0,0,0,100,64
Dark cerulean,#08457E,8,69,126,209,94,49
Dark chestnut,#986960,152,105,96,10,37,60
Dark coral,#CD5B45,205,91,69,10,66,80
Dark cyan,#008B8B,0,139,139,180,100,55
Dark electric blue,#536878,83,104,120,206,31,47
Dark goldenrod,#B8860B,184,134,11,43,94,72
Dark gray (X11),#A9A9A9,169,169,169,0,0,66
Dark green,#013220,1,50,32,158,98,20
Dark green (X11),#006400,0,100,0,120,100,39
Dark gunmetal,#1F262A,31,38,42,202,26,16
Dark imperial blue,#00416A,0,65,106,203,100,42
Dark imperial blue,#6E6EF9,110,110,249,183,100,40
Dark jungle green,#1A2421,26,36,33,162,28,14
Dark khaki,#BDB76B,189,183,107,56,43,74
Dark lava,#483C32,72,60,50,27,31,28
Dark lavender,#734F96,115,79,150,270,47,59
Dark liver,#534B4F,83,75,79,330,10,33
Dark liver (horses),#543D37,84,61,55,12,35,33
Dark magenta,#8B008B,139,0,139,300,100,55
Dark medium gray,#A9A9A9,169,169,169,0,0,66
Dark midnight blue,#003366,0,51,102,210,100,40
Dark moss green,#4A5D23,74,93,35,80,62,36
Dark olive green,#556B2F,85,107,47,82,56,42
Dark orange,#FF8C00,255,140,0,33,100,100
Dark orchid,#9932CC,153,50,204,280,75,80
Dark pastel blue,#779ECB,119,158,203,212,41,80
Dark pastel green,#03C03C,3,192,60,138,98,75
Dark pastel purple,#966FD6,150,111,214,263,48,84
Dark pastel red,#C23B22,194,59,34,9,82,76
Dark pink,#E75480,231,84,128,342,64,91
Dark powder blue,#003399,0,51,153,220,100,60
Dark puce,#4F3A3C,79,58,60,354,27,31
Dark purple,#301934,48,25,52,291,51,20
Dark raspberry,#872657,135,38,87,330,72,53
Dark red,#8B0000,139,0,0,0,100,55
Dark salmon,#E9967A,233,150,122,15,48,91
Dark scarlet,#560319,86,3,25,344,97,34
Dark sea green,#8FBC8F,143,188,143,120,24,74
Dark sienna,#3C1414,60,20,20,0,67,24
Dark sky blue,#8CBED6,140,190,214,199,35,84
Dark slate blue,#483D8B,72,61,139,248,56,55
Dark slate gray,#2F4F4F,47,79,79,180,41,31
Dark spring green,#177245,23,114,69,150,80,45
Dark tan,#918151,145,129,81,45,44,57
Dark tangerine,#FFA812,255,168,18,38,93,100
Dark taupe,#483C32,72,60,50,27,31,28
Dark terra cotta,#CC4E5C,204,78,92,353,62,80
Dark turquoise,#00CED1,0,206,209,181,100,82
Dark vanilla,#D1BEA8,209,190,168,32,20,82
Dark violet,#9400D3,148,0,211,282,100,83
Dark yellow,#9B870C,155,135,12,52,92,61
Dartmouth green,#00703C,0,112,60,152,100,44
Davy's grey,#555555,85,85,85,0,0,33
Debian red,#D70A53,215,10,83,339,95,84
Deep aquamarine,#40826D,64,130,109,161,51,51
Deep carmine,#A9203E,169,32,62,347,81,66
Deep carmine pink,#EF3038,239,48,56,357,80,94
Deep carrot orange,#E9692C,233,105,44,19,81,91
Deep cerise,#DA3287,218,50,135,330,77,85
Deep champagne,#FAD6A5,250,214,165,35,34,98
Deep chestnut,#B94E48,185,78,72,3,61,73
Deep coffee,#704241,112,66,65,1,42,44
Deep fuchsia,#C154C1,193,84,193,300,56,76
Deep Green,#056608,5,102,8,122,95,40
Deep green-cyan turquoise,#0E7C61,14,124,97,165,89,49
Deep jungle green,#004B49,0,75,73,178,100,29
Deep koamaru,#333366,51,51,102,240,50,40
Deep lemon,#F5C71A,245,199,26,47,89,96
Deep lilac,#9955BB,153,85,187,280,55,73
Deep magenta,#CC00CC,204,0,204,300,100,80
Deep maroon,#820000,130,0,0,0,100,51
Deep mauve,#D473D4,212,115,212,300,46,83
Deep moss green,#355E3B,53,94,59,129,44,37
Deep peach,#FFCBA4,255,203,164,26,36,100
Deep pink,#FF1493,255,20,147,328,92,100
Deep puce,#A95C68,169,92,104,351,46,66
Deep Red,#850101,133,1,1,0,99,52
Deep ruby,#843F5B,132,63,91,336,52,52
Deep saffron,#FF9933,255,153,51,30,80,100
Deep sky blue,#00BFFF,0,191,255,195,100,100
Deep Space Sparkle,#4A646C,74,100,108,194,31,42
Deep spring bud,#556B2F,85,107,47,82,56,42
Deep Taupe,#7E5E60,126,94,96,356,25,49
Deep Tuscan red,#66424D,102,66,77,342,35,40
Deep violet,#330066,51,0,102,270,100,40
Deer,#BA8759,186,135,89,28,52,73
Denim,#1560BD,21,96,189,213,89,74
Denim Blue,#2243B6,34,67,182,227,81,71
Desaturated cyan,#669999,102,153,153,180,33,60
Desert,#C19A6B,193,154,107,33,45,76
Desert sand,#EDC9AF,237,201,175,25,26,93
Desire,#EA3C53,234,60,83,352,74,92
Diamond,#B9F2FF,185,242,255,191,27,100
Dim gray,#696969,105,105,105,0,0,41
Dingy Dungeon,#C53151,197,49,81,347,75,77
Dirt,#9B7653,155,118,83,29,46,61
Dodger blue,#1E90FF,30,144,255,210,88,100
Dogwood rose,#D71868,215,24,104,335,89,84
Dollar bill,#85BB65,133,187,101,98,46,73
Donkey brown,#664C28,102,76,40,35,61,40
Drab,#967117,150,113,23,43,85,59
Duke blue,#00009C,0,0,156,240,100,61
Dust storm,#E5CCC9,229,204,201,6,12,90
Dutch white,#EFDFBB,239,223,187,42,22,94
Earth yellow,#E1A95F,225,169,95,34,58,88
Ebony,#555D50,85,93,80,97,14,36
Ecru,#C2B280,194,178,128,45,34,76
Eerie black,#1B1B1B,27,27,27,0,0,11
Eggplant,#614051,97,64,81,329,34,38
Eggshell,#F0EAD6,240,234,214,46,11,94
Egyptian blue,#1034A6,16,52,166,226,90,65
Electric blue,#7DF9FF,125,249,255,183,51,100
Electric crimson,#FF003F,255,0,63,345,100,100
